Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Churn
M,32.50054336985064,Masters,Marketing,1.9722793354368904,Information Technology,Very High,Junior Associate,0.4539800156783643,No,Excellent,2.5182993197585257,0.5182993197585257,2.97227933543689,1.9445586708737803,1.4262593511152546,1.9445586708737803,5.881268649672103,NY,20.9268027209659,Married,17.128638608160323,No Option Plan,Low
F,36.0,Masters,Life Sciences,5.0,Operations,High,Junior Associate,7.0,No,Outstanding,10.0,4.0,3.0,3.0,0.0,3.0,24.3274,NJ,29.0,Single,23.0,No Option Plan,Low
F,30.0,Bachelors,Life Sciences,5.0,Information Technology,High,Junior Associate,4.0,No,Excellent,9.0,3.0,1.0,3.0,1.0,4.0,3.708,NY,39.0,Married,15.0,Full Option Plan,Low
M,27.332182788225463,Bachelors,Technical Degree,3.667817211774535,Information Technology,High,Junior Associate,0.3862149343803724,No,Excellent,4.3896665697039765,2.6948332848519883,3.0270160730774536,2.362650496626524,0.027016073077453538,2.0,38.18683211035466,NJ,33.582230716569754,Married,12.02356443775385,Full Option Plan,Low
M,40.0,Bachelors,Life Sciences,1.0,Sales,Medium,Executive,4.0,Yes,Excellent,22.0,2.0,2.0,0.0,0.0,0.0,27.0228,NJ,43.0,Single,16.0,No Option Plan,High
M,28.0,Masters,Medical,0.0,Research & Development,Low,Junior Associate,7.0,Yes,Excellent,8.0,2.0,2.0,0.0,0.0,0.0,9.224079388012512,NY,43.0,Single,11.0,No Option Plan,Low
M,32.27694026101093,Masters,Marketing,2.0,Information Technology,Low,Junior Associate,0.4256467536703125,No,Excellent,2.5743532463296868,0.5743532463296875,3.0,2.0,1.4256467536703126,2.0,5.987934449053947,NJ,20.70258701468125,Married,17.29741298531875,No Option Plan,Low
F,30.00179093985808,Masters,Life Sciences,1.0,Information Technology,Low,Junior Associate,1.0,Yes,Outstanding,1.0,2.6660696867139753,1.6660696867139748,0.0,0.6660696867139747,0.33393031328602524,9.219608550138686,NJ,43.33034843356987,Single,24.0,No Option Plan,Low
F,28.0,Bachelors,Life Sciences,7.0,Research & Development,Low,Junior Associate,7.0,Yes,Excellent,10.0,4.0,3.0,7.0,3.0,7.0,7.776129848779452,NY,31.0,Single,13.0,No Option Plan,Low
F,22.030204927759765,Masters,Life Sciences,0.005034154626627586,Research & Development,High,Junior Associate,0.005034154626627586,Yes,Excellent,1.0,4.994965845373373,2.9949658453733723,0.005034154626627586,0.0,0.0,9.177566043665225,NY,36.005034154626635,Married,11.0,Full Option Plan,Low
M,28.0,Bachelors,Medical,5.0,Research & Development,High,Junior Associate,1.0,No,Excellent,5.0,2.0,1.0,2.0,0.0,2.0,30.6207,NJ,27.0,Married,11.0,Full Option Plan,High
M,19.0,Bachelors,Life Sciences,1.0,Research & Development,Medium,Junior Associate,1.0,No,Outstanding,1.0,3.0,2.0,0.0,1.0,0.0,4.470033684307799,NY,24.0,Single,22.0,No Option Plan,Low
M,19.970386761357144,Bachelors,Medical,0.9851933806785721,Information Technology,Very High,Junior Associate,1.0,Yes,Excellent,0.9851933806785721,2.0,3.0,0.0,0.0,0.0,7.697284121946856,NY,31.955580142035718,Single,14.955580142035716,No Option Plan,Low
F,31.564660240779105,Bachelors,Life Sciences,7.054648674105643,Operations,Very High,Junior Associate,0.3260424110096094,No,Excellent,7.728606263096032,2.0273243370528213,1.7286062630960333,5.533733967268881,4.112899284668687,6.353366748062432,8.6113163517708,NY,22.723154693014386,Single,12.783254937201676,No Option Plan,Low
F,27.0,Masters,Life Sciences,3.0,Research & Development,Low,Associate,0.0,No,Excellent,4.0,2.0,3.0,2.0,2.0,2.0,13.8609,NY,43.0,Married,18.0,Full Option Plan,Low
F,26.0,Bachelors,Technical Degree,1.0,Research & Development,High,Junior Associate,1.0,Yes,Excellent,1.0,3.0,1.0,0.0,0.0,0.0,8.655,NJ,46.0,Single,18.0,No Option Plan,Low
M,31.69665082387689,Bachelors,Life Sciences,3.3933016477537845,Sales,Low,Associate,5.213396704492432,No,Excellent,6.089952471630678,2.0899524716306765,2.0,2.6966508238768925,0.6066983522462155,2.6966508238768925,6.385313317180942,NY,44.606698352246205,Married,12.0,Full Option Plan,High
M,52.0,Masters,Other,5.0,Research & Development,High,Junior Associate,9.0,No,Excellent,12.0,2.0,1.0,4.0,0.0,4.0,6.7751,NY,23.0,Married,13.0,No Option Plan,High
M,40.17416685431161,Bachelors,Human Resources,2.478333386946173,Operations,Medium,Junior Associate,0.2608333065269133,No,Excellent,3.2175000804192595,4.478333386946173,3.0,1.4783333869461734,0.7391666934730867,0.0,6.821186836458963,NJ,41.17416685431161,Married,11.26083330652691,Full Option Plan,High
M,40.885167082182576,Bachelors,Life Sciences,6.885167082182586,Marketing,Medium,Junior Associate,6.491866334253931,Yes,Excellent,13.377033416436518,2.377033416436517,3.0,5.131100249309552,0.0,3.2459331671269656,8.182260373834742,NY,35.24593316712697,Divorced,11.0,No Option Plan,High
M,56.0,Some College,Life Sciences,3.0,Research & Development,Low,Junior Associate,2.0,No,Outstanding,5.0,3.0,4.0,2.0,1.0,0.0,6.7542,NJ,23.0,Married,22.0,Full Option Plan,High
M,33.631813527016675,Bachelors,Human Resources,4.2091188378999895,Operations,Medium,Junior Associate,0.3681864729833316,No,Excellent,4.840932364916658,2.368186472983332,3.0,3.840932364916658,1.7363729459666633,1.2636270540333367,8.066456548309588,NY,32.10455941895,Married,11.0,Full Option Plan,High
F,28.252917081827732,Bachelors,Life Sciences,5.360249378894881,Research & Development,Very High,Junior Associate,0.5324183240379677,Yes,Excellent,5.827831054856914,3.0,2.0,3.8278310548569143,0.5324183240379677,1.984088511391288,11.80347516213058,NY,21.12324378567586,Single,13.279501242210234,No Option Plan,Low
M,30.0,Bachelors,Life Sciences,4.187355457305653,Finance,Medium,Junior Associate,6.562066371916959,Yes,Excellent,6.749421829222612,0.5620663719169594,2.0,2.374710914611306,0.8126445426943469,2.187355457305653,8.874386150083454,NY,37.81264454269435,Married,11.187355457305653,Full Option Plan,Low
M,42.204645961747204,Bachelors,Human Resources,19.83408064170823,Information Technology,Low,VP to C-Level,0.08846615138091518,No,Excellent,20.788012075272764,4.734601545857253,2.957602415054552,7.169590339781791,0.5344678897755113,8.992658037019961,9.477834985549574,NY,45.642464412986314,Single,14.322479965048272,No Option Plan,High
M,35.041788092567174,Bachelors,Human Resources,3.969392021921146,Operations,Medium,Junior Associate,2.1187967653286504,No,Excellent,9.903914854448317,2.9921036416981126,3.025995375963393,0.06547716747283007,1.987491039582652,2.922013872109821,14.831502133969225,NY,41.05429705298452,Married,13.018099017661505,Full Option Plan,High
F,25.79030348787705,Bachelors,Medical,7.644869332080761,Research & Development,Very High,Associate,1.0040585899734813,No,Excellent,7.665162281948168,1.8870345639915624,3.0,6.531903896072325,0.8789173840445995,3.1332583858758443,58.32714436888751,NJ,41.726495695732396,Divorced,12.47621328387464,Small Option Plan,Low
F,30.22224333209362,Bachelors,Life Sciences,8.222243332093619,Research & Development,High,Junior Associate,0.0,Yes,Excellent,9.222243332093619,3.5555133358127624,1.7777566679063812,7.0,2.555703324655332,6.555513335812763,36.37483694706452,NJ,40.888783339531905,Married,11.77775666790638,No Option Plan,Low
F,43.564431453686545,Bachelors,Life Sciences,5.095652222165168,Research & Development,High,Junior Associate,2.2400839427764763,No,Excellent,6.727825112693666,4.161996707837095,3.0,2.21278307457424,0.07808723493938145,3.1737394571045487,5.417384549236183,NY,32.661126531785854,Single,14.327130718946695,No Option Plan,Low
F,20.45880060131363,Bachelors,Life Sciences,0.9250416305758552,Sales,High,Junior Associate,1.0,No,Excellent,0.9250416305758552,2.92891520251354,3.1568709545610747,0.0,0.7668794853688857,0.0,8.58045256477707,NY,23.154288573269287,Single,13.0,No Option Plan,Low
M,35.035972443264264,Masters,Medical,2.0359724432642623,Finance,High,Junior Associate,3.1079173297927856,No,Excellent,4.1079173297927865,2.8920826702072144,3.0,2.0,1.9280551134714763,1.964027556735738,16.33067735843099,NY,31.14388977305705,Married,15.179862216321311,Full Option Plan,High
F,25.0,Bachelors,Marketing,1.0,Sales,High,Junior Associate,1.0,Yes,Excellent,1.0,2.0,3.0,0.0,0.0,0.0,27.068449526931424,NJ,48.0,Single,18.0,No Option Plan,Low
M,37.6508773690472,Bachelors,Life Sciences,3.0,Research & Development,High,Junior Associate,2.698245261905612,No,Excellent,8.0,5.349122630952807,3.650877369047194,2.0,0.6508773690471942,2.0,0.9195700672391234,NY,22.952632107141586,Single,14.094735785716836,No Option Plan,Low
M,33.04926654270943,Masters,Marketing,2.0,Sales,Low,Junior Associate,0.6830888475698116,No,Excellent,2.316911152430188,0.3169111524301884,3.0,2.0,1.6830888475698116,2.0,7.400504944381298,NJ,21.732355390279245,Married,16.267644609720758,No Option Plan,Low
M,41.63477210616432,Bachelors,Life Sciences,9.0,Research & Development,Medium,Associate,3.6052969446182206,No,Excellent,12.473729259490963,2.1085013656552847,3.0,8.0,1.3024377774938782,7.891498634344716,33.69434587274899,NJ,48.730034398040885,Single,12.503204421037063,Full Option Plan,High
F,18.973835784479533,Bachelors,Life Sciences,0.9738357844795372,Sales,High,Junior Associate,1.0,No,Excellent,0.9738357844795372,2.973835784479537,3.9934364310969244,0.0,0.0,0.0,12.225962457763627,NY,24.05223837094909,Single,12.980399353382614,No Option Plan,Low
F,37.413245934803456,Bachelors,Life Sciences,5.886755435765847,Research & Development,High,Junior Associate,0.12031477567667873,No,Excellent,6.940628180784057,2.01705612723179,1.288444317535241,4.639614577608562,0.8661037060768684,2.9380448109330666,4.806558935921184,NY,31.200338324581598,Single,13.858021262028148,No Option Plan,Low
M,37.99244609451829,Bachelors,Human Resources,8.0504608763443,Operations,High,Associate,7.874925865902159,No,Excellent,12.520541790808814,3.2855013335765566,1.839572800521285,4.326584915194184,2.2444177519589292,6.167981104960427,8.102564865843263,NY,43.059838171070965,Married,13.723875961150114,Full Option Plan,High
M,31.0,Doctorate,Human Resources,1.0,Operations,Very High,Junior Associate,0.0,No,Excellent,2.0,4.0,3.0,0.0,0.0,0.0,4.446485848740459,NY,43.0,Married,17.0,No Option Plan,Low
F,30.303477314790452,Bachelors,Medical,6.575869328697613,Research & Development,Very High,Associate,1.575869328697614,No,Excellent,9.455215972185684,2.5758693286976144,3.0,6.151738657395227,1.2723920139071578,5.303477314790456,59.461538216554445,NJ,44.45521597218568,Married,13.151738657395226,Small Option Plan,Low
M,29.45483471775493,Bachelors,Medical,3.5451652822450685,Research & Development,High,Junior Associate,1.0,No,Excellent,3.5451652822450685,3.4548347177549315,2.0,2.7725826411225345,0.4548347177549317,1.227417358877466,10.275546193877199,NY,37.545165282245065,Married,12.772582641122534,Full Option Plan,Low
M,23.96935522350941,Below College,Medical,1.767200113245334,Research & Development,Very High,Junior Associate,0.2684519299120285,No,Excellent,2.4987481833333054,2.0,3.0,0.8028521564026965,1.5344002264906684,0.7672001132453342,11.749166833325624,NY,21.071304086314726,Divorced,15.75544296456524,Large Option Plan,High
M,28.03218735898617,Masters,Life Sciences,1.9678126410138284,Research & Development,High,Junior Associate,1.0,No,Excellent,1.9678126410138284,2.9356252820276567,2.032187358986172,1.935625282027657,1.935625282027657,1.935625282027657,4.167231224806565,NY,21.96781264101383,Single,12.935625282027656,No Option Plan,Low
F,35.94571777842773,Below College,Life Sciences,4.9938417496788725,Operations,High,Junior Associate,6.991476394091983,No,Outstanding,9.958034279069986,3.9460032862572016,3.0,2.9997144921705297,0.0,2.993841749678872,25.89357012160632,NJ,28.973287150958072,Single,22.991190886262512,No Option Plan,Low
M,34.52457026955323,Bachelors,Human Resources,5.713144595670153,Operations,Medium,Junior Associate,0.23771486522338425,No,Excellent,6.475429730446768,4.524570269553232,3.0,4.713144595670154,0.7131445956701529,2.286855404329847,7.498616327198088,NY,38.573710808659705,Married,12.524570269553232,Full Option Plan,High
F,33.047230167993874,Some College,Life Sciences,4.720350623831545,Research & Development,Low,Junior Associate,1.7560342921715173,No,Excellent,6.429154748009187,2.1967355398346085,2.8032644601653915,1.7203506238315456,0.523615083996937,3.0,14.646304432895025,NJ,27.708804124177647,Divorced,13.933408464493112,Full Option Plan,Low
M,35.47815191658655,Masters,Medical,3.4273140386486762,Finance,High,Junior Associate,5.667220006116098,No,Excellent,7.305955706835041,0.3238385648676144,2.896524526218938,2.5263187979215944,0.10347547378106156,1.6342649862107992,14.437471330951483,NY,34.88758309720265,Married,20.198009518545838,Full Option Plan,High
F,27.03383230769897,Masters,Medical,5.0,Research & Development,High,Junior Associate,0.0,No,Excellent,6.0,4.9746257692257725,2.0169161538494844,3.0084580769247418,0.00845807692474239,3.0084580769247418,7.7775729819223836,NY,32.016916153849486,Divorced,11.991541923075257,Full Option Plan,Low
F,19.208940536295486,Bachelors,Marketing,0.4029801787651615,Information Technology,Medium,Junior Associate,1.0,No,Excellent,0.4029801787651615,2.402980178765161,3.5970198212348388,0.0,0.4029801787651615,0.0,27.81212728999968,NJ,25.388079284939355,Single,12.40298017876516,No Option Plan,Low
M,30.990806922465104,Masters,Medical,4.203677231013959,Finance,Medium,Junior Associate,0.0,No,Excellent,5.203677231013959,2.2036772310139594,2.2036772310139594,3.2036772310139594,0.0,3.2036772310139594,14.618148465742571,NY,31.611031693041877,Divorced,21.40735446202792,Full Option Plan,High
M,25.371038762984604,Bachelors,Life Sciences,4.257922474030795,Finance,Medium,Associate,0.3710387629846027,No,Excellent,4.886883711046192,3.0,1.6289612370153974,2.6289612370153974,0.0,3.2579224740307953,4.067807267290946,NY,37.226232577907616,Married,22.0,No Option Plan,High
M,49.0,Some College,Medical,1.0,Research & Development,Low,VP to C-Level,2.0,No,Excellent,23.0,2.0,4.0,0.0,0.0,0.0,3.0199,NJ,49.0,Married,13.0,Full Option Plan,High
M,31.0,Bachelors,Life Sciences,2.0,Research & Development,Medium,Junior Associate,6.0,Yes,Excellent,7.0,2.0,1.0,2.0,2.0,2.0,6.7751,NY,36.0,Married,13.0,Full Option Plan,Low
F,45.0,Bachelors,Medical,7.0,Research & Development,Medium,Manager,2.0,Yes,Excellent,24.0,2.0,3.0,7.0,0.0,7.0,8.655,NJ,31.0,Divorced,18.0,Full Option Plan,Low
M,37.0,Bachelors,Life Sciences,14.0,Research & Development,Very High,Associate,1.0,No,Excellent,14.0,2.0,2.0,8.0,3.0,11.0,78.6413,PA,23.0,Married,13.0,Full Option Plan,High
F,26.0,Bachelors,Life Sciences,6.7845264102422815,Operations,High,Junior Associate,0.3922632051211409,No,Outstanding,7.392263205121142,2.3922632051211408,3.0,5.176789615363423,1.9613160256057045,5.176789615363423,7.585212065726459,NY,29.0,Single,22.39226320512114,No Option Plan,Low
M,33.892420636323884,Bachelors,Life Sciences,15.764931973991894,Operations,High,Associate,1.0,Yes,Excellent,15.764931973991894,1.1274886623319824,3.0,13.107579363676127,7.872511337668017,11.362556688340087,4.491524072087016,NY,41.872511337668016,Married,13.147397960987842,No Option Plan,High
M,25.05906856787076,Some College,Life Sciences,2.029862947305095,Finance,High,Junior Associate,3.6936073003121273,No,Excellent,5.713735040762002,3.227196391367242,2.9604018458396832,0.0791963083206314,0.9506666389844632,1.9409314321292424,8.903238736847964,NY,46.00973520685522,Divorced,14.109059255625727,Full Option Plan,High
F,26.0,Bachelors,Other,5.0,Information Technology,High,Junior Associate,1.0,No,Excellent,5.0,3.0,2.0,4.0,4.0,3.0,17.3473,NY,28.0,Married,19.0,No Option Plan,Low
M,29.0,Bachelors,Life Sciences,7.0,Research & Development,Very High,Executive,3.0,No,Excellent,9.0,2.0,2.0,7.0,1.0,7.0,4.1185,NJ,33.0,Divorced,14.0,Large Option Plan,High
M,40.19018292311512,Masters,Life Sciences,7.063394307705039,Marketing,Medium,Associate,1.873211384589923,No,Excellent,14.61963415376977,3.1267886154100766,3.0,4.190182923115115,6.619634153769768,7.0,75.44432428508796,PA,37.38036584623024,Divorced,12.443760153935271,Full Option Plan,High
M,55.930276760551386,Bachelors,Technical Degree,2.0116205399081006,Sales,Medium,Associate,4.0,Yes,Excellent,19.0116205399081,3.0,3.0,2.0,2.0,1.9767589201837987,37.15811676176366,NJ,30.058102699540505,Married,17.941897300459498,Full Option Plan,High
M,31.69604755647321,Bachelors,Life Sciences,1.0,Research & Development,Low,Junior Associate,1.0,No,Excellent,1.0,2.945334935407707,3.4759609935768045,0.0,0.0,0.0,11.509112285999654,NY,19.234686970915448,Single,12.289352035507743,No Option Plan,Low
F,30.375771444601625,Bachelors,Life Sciences,2.687885722300813,Sales,High,Junior Associate,1.0,Yes,Excellent,2.687885722300813,2.3121142776991865,3.6878857223008135,2.0,2.0,2.0,37.100212183889816,NJ,47.24845711079675,Single,11.624228555398373,No Option Plan,Low
M,25.724255234530897,Bachelors,Medical,4.86212761726545,Research & Development,Very High,Junior Associate,1.0,No,Excellent,5.8621276172654495,5.13787238273455,3.8621276172654495,2.8621276172654504,1.2757447654690988,3.724255234530901,22.980061545617637,NJ,25.58638285179635,Single,19.310638086327245,No Option Plan,High
F,39.723191655293896,Masters,Human Resources,3.9077305517646335,Human Resources,High,Junior Associate,0.369077792941465,Yes,Outstanding,5.184538896470733,2.0922694482353665,2.0922694482353665,2.0,1.8154611035292676,2.907730551764633,9.536331477870855,NY,45.276808344706104,Divorced,20.184538896470734,No Option Plan,Low
M,21.0,Some College,Medical,3.0,Research & Development,Very High,Junior Associate,1.0,No,Excellent,3.0,4.0,4.0,2.0,1.0,0.0,4.0679,NJ,19.0,Single,17.0,No Option Plan,High
M,44.275744765469106,Bachelors,Life Sciences,2.2757447654690988,Information Technology,High,Associate,4.5514895309381975,No,Excellent,9.102979061876397,2.0,3.0,2.0,1.7242552345309012,2.0,7.505329791684308,NY,32.724255234530894,Married,18.5514895309382,Full Option Plan,High
M,27.054442374377484,Bachelors,Life Sciences,3.952314425677205,Information Technology,High,Junior Associate,0.12278632280431258,No,Excellent,4.99324319994531,3.0033784000273456,3.040928774268103,2.9556928257045505,0.04768557432279489,2.0,37.94819563294199,NJ,35.16709349709976,Married,11.167093497099762,Full Option Plan,Low
M,29.981175837109987,Bachelors,Medical,1.0,Research & Development,Low,Junior Associate,1.0,No,Outstanding,1.0,1.9905879185549928,2.9952939592774968,0.0047060407225035595,0.0,0.0,8.96543384983967,NY,47.01411812216751,Divorced,20.0,Full Option Plan,Low
M,31.91254723338612,Bachelors,Medical,1.5437263833069408,Research & Development,Medium,Junior Associate,3.4562736166930588,No,Excellent,8.08745276661388,1.9125472333861184,3.0,1.5437263833069408,0.5437263833069409,0.0,5.569972116867621,NY,29.262358299841647,Divorced,11.54372638330694,No Option Plan,High
F,45.44887548519604,Bachelors,Medical,3.711375422096699,Research & Development,Very High,Junior Associate,4.709457890203521,No,Outstanding,9.2886245779033,2.290542109796479,2.290542109796479,2.7113754220966997,0.9990412340534114,2.7104166561501097,9.63111155761348,NJ,34.54920698291078,Married,22.15737460945297,Full Option Plan,Low
F,31.57273309345104,Bachelors,Life Sciences,3.1909110311503466,Information Technology,Low,Junior Associate,2.8090889688496543,Yes,Excellent,8.809088968849654,2.8090889688496543,3.8090889688496534,2.0,1.0,0.5727330934510381,6.032023306310338,NY,45.04544484424827,Married,11.0,No Option Plan,Low
F,29.18384577380789,Bachelors,Medical,9.849608209225737,Research & Development,High,Junior Associate,1.1475607207563068,No,Excellent,10.070949290360195,4.626688620998717,2.9020437071375955,7.126586119844232,2.5104281123202794,7.856893173741268,7.559479648847286,NY,42.833466590467026,Divorced,17.073613092396243,Full Option Plan,Low
F,27.0,Bachelors,Human Resources,1.0,Information Technology,Low,Junior Associate,1.0,No,Excellent,8.678393828396558,2.0,3.0,0.0,0.0,0.0,3.953546312019229,NY,49.0,Married,12.0,No Option Plan,Low
F,46.00689768088562,Bachelors,Life Sciences,0.33448294681427004,Research & Development,Low,Junior Associate,2.66896589362854,No,Excellent,6.66896589362854,3.66896589362854,3.0,0.0,0.0,0.0,35.0726319749247,NJ,40.32758526592865,Single,14.67241473407135,No Option Plan,Low
M,30.004716843971263,Bachelors,Life Sciences,7.995283156028742,Operations,Medium,Associate,0.3349056146570861,No,Excellent,8.660377541371655,2.6650943853429143,2.6650943853429143,4.665094385342914,0.0,6.995283156028742,4.1017915038652335,NY,23.0,Single,12.0,No Option Plan,High
F,34.91953496579402,Bachelors,Life Sciences,8.483497695432936,Marketing,Very High,Associate,0.047460425071851456,No,Excellent,9.436037270361084,2.094920850143703,2.6230977850368395,6.810158299712594,0.8459440944583729,5.424362640035012,10.072628081302572,NY,24.237302125359253,Single,14.436037270361085,No Option Plan,Low
M,35.0,Some College,Life Sciences,1.0,Information Technology,Medium,Associate,3.0,Yes,Excellent,8.0,1.0,3.0,0.0,0.0,1.0,6.3743,NY,26.0,Married,13.0,No Option Plan,High
M,27.762756478563233,Masters,Medical,3.8911233501906937,Research & Development,Very High,Junior Associate,0.0,Yes,Excellent,4.891123350190695,1.1988830076985506,2.5638734708646838,2.0,0.5638734708646833,1.5450031789446224,6.169983682532452,NY,21.36437053326804,Single,12.236623591538672,No Option Plan,Low
M,24.14875928481073,Bachelors,Medical,4.148759284810734,Research & Development,Very High,Junior Associate,1.0,No,Excellent,5.0991728565404895,5.801654286919019,2.9504135717297557,2.247932141351224,2.8512407151892654,2.0495864282702447,28.646192919309197,NJ,22.950413571729754,Married,15.049586428270244,No Option Plan,High
F,40.0,Masters,Life Sciences,4.0,Research & Development,Medium,Junior Associate,3.0,No,Outstanding,7.0,3.0,3.0,2.0,0.0,3.0,4.5823,NY,30.0,Married,22.0,Full Option Plan,Low
M,47.41334086858435,Bachelors,Human Resources,16.18167031801886,Information Technology,Low,VP to C-Level,1.3051004468821241,No,Excellent,17.350868602545702,2.099888366514683,2.0332961221715613,10.020824088679543,6.017907380830092,10.087416333022663,16.418413140859617,NY,44.11507807367575,Single,14.169198284526846,No Option Plan,High
M,35.36125654215589,Bachelors,Human Resources,4.426567802809041,Operations,Medium,Junior Associate,1.8432971189185068,No,Excellent,9.486350516320085,2.8432971189185072,3.134932460863774,0.8966764460535195,2.383026962373603,2.616973037626397,13.8796803137781,NY,41.13062252130632,Married,13.0,Full Option Plan,High
M,32.0,Masters,Life Sciences,1.0,Information Technology,Low,Junior Associate,1.0,Yes,Outstanding,1.0,2.0,1.0,0.0,0.0,1.0,9.900796140692922,NJ,40.0,Single,24.0,No Option Plan,Low
F,29.880820258336893,Bachelors,Life Sciences,2.5006549216938283,Sales,High,Junior Associate,1.0,Yes,Excellent,2.5006549216938283,2.511394036811249,3.4765570046836745,2.0,1.9759020829898464,2.0120489585050767,36.45246081738468,NJ,48.12991885678053,Single,12.058934949137726,No Option Plan,Low
M,41.0,Some College,Technical Degree,10.0,Finance,Medium,Junior Associate,1.0,No,Excellent,10.0,3.0,3.0,6.0,0.0,8.0,35.8177,NJ,20.0,Married,13.0,No Option Plan,High
F,29.17207987071662,Bachelors,Medical,10.1797127429226,Research & Development,High,Junior Associate,1.0,No,Excellent,10.1797127429226,4.8431858736953375,2.8279201292833798,7.172079870716621,1.9923671277940211,7.827920129283379,7.689802620431673,NY,42.60241015312491,Divorced,16.975153647906257,Full Option Plan,Low
M,56.68164535450879,Masters,Human Resources,5.064632372225684,Marketing,High,Associate,6.6816453545087855,Yes,Excellent,32.92586403248921,3.43061583013176,3.0,2.259531304282437,3.981994624809476,4.324163676508121,5.6203389184156,NY,33.19009171641955,Married,17.64352013737904,Full Option Plan,High
M,23.0,Bachelors,Life Sciences,0.2420450158625275,Research & Development,High,Junior Associate,1.0,Yes,Outstanding,1.0,2.242045015862528,2.7579549841374726,0.0,0.2420450158625275,0.0,6.7830122257802286,NY,38.484090031725046,Married,20.515909968274947,Full Option Plan,Low
