EMPLOYEE_ID,GENDER,AGE,EDUCATION,EDUCATIONFIELD,COUNTRY,JOBROLE,YEARSATCOMPANY,BUSINESSTRAVEL,DEPARTMENT,ENVIRONMENTSATISFACTION,JOBINVOLVEMENT,JOBLEVEL,JOBSATISFACTION,NUMCOMPANIESWORKED,OVERTIME,PERFORMANCERATING,RELATIONSHIPSATISFACTION,TOTALWORKINGYEARS,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSINCURRENTROLE,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,DISTANCEFROMHQ,AGEWHENHIRED,MARITALSTATUS,PERCENTSALARYHIKE,STOCKOPTIONLEVEL,MONTHLYINCOME,DAILYRATE,HOURLYRATE,WORKLIFEBALANCESCORE,LEADERSHIPSCORE,CULTURESCORE,BENEFITS_LEAVESCORE,COMPENSATIONSCORE,HAPPINESSPERCENT,ATTRITION,MONTHLYINCOME_SDBIN
21,F,45,Masters,Medical,United States,Human Resources,6,Travel_Rarely,Human Resources,Medium,High,Junior Associate,Medium,1,No,Excellent,Low,6,3,3,3,0,4,5.5856,29,Single,16,No Option Plan,2177,72.566667,9.070833,0.805,0.683,0.737,0.822,0.716,0.981439,No,0
22,M,38,Bachelors,Human Resources,United States,Human Resources,7,Travel_Rarely,Human Resources,High,Very High,Junior Associate,High,1,No,Excellent,Very High,7,2,4,6,5,0,7.7361,41,Married,13,Full Option Plan,2844,94.8,11.85,0.844,0.801,0.687,0.703,0.591,0.444177,No,0
23,F,35,Masters,Technical Degree,United States,Human Resources,5,Travel_Rarely,Human Resources,High,High,Junior Associate,High,1,No,Excellent,Medium,6,2,1,4,1,4,5.1857,34,Single,17,No Option Plan,4323,144.1,18.0125,0.648,0.619,0.766,0.754,0.804,0.97433,No,0
24,M,33,Bachelors,Human Resources,United States,Human Resources,5,Travel_Rarely,Operations,Medium,High,Junior Associate,High,1,No,Excellent,Very High,5,2,3,4,1,4,8.0495,47,Married,13,Full Option Plan,3600,120,15,0.572,0.717,0.717,0.794,0.724,0.837649,No,0
25,M,42,Doctorate,Medical,United States,Human Resources,4,Non-Travel,Operations,Very High,Very High,Associate,Low,7,No,Excellent,Low,10,3,4,3,0,3,5.2945,50,Married,16,Full Option Plan,6272,209.066667,26.133333,0.642,0.775,0.781,0.789,0.655,0.837314,No,0
26,M,34,Bachelors,Life Sciences,United States,Human Resources,10,Travel_Frequently,Operations,High,Medium,Associate,Medium,4,No,Excellent,Very High,14,5,4,9,1,8,8.345,44,Married,11,Large Option Plan,4490,149.666667,18.708333,0.535,0.792,0.72,0.76,0.622,0.982717,No,0
27,M,46,Some College,Life Sciences,United States,Human Resources,7,Travel_Rarely,Operations,Very High,High,Junior Associate,Low,6,No,Excellent,High,10,3,4,6,5,7,5.4785,23,Single,12,No Option Plan,3423,114.1,14.2625,0.844,0.801,0.612,0.671,0.61,0.872484,No,0
28,M,56,Masters,Life Sciences,United States,Manager,7,Travel_Rarely,Operations,Very High,High,VP to C-Level,Medium,6,No,Excellent,Low,36,4,3,3,7,7,6.5731,23,Single,14,No Option Plan,19717,657.233333,82.154167,0.845,0.776,0.678,0.786,0.626,0.973706,No,1
29,M,51,Bachelors,Life Sciences,United States,Manager,33,Travel_Rarely,Operations,High,High,Executive,Medium,1,Yes,Excellent,Medium,33,2,3,9,0,10,8.9588,20,Divorced,11,Full Option Plan,14026,467.533333,58.441667,0.654,0.801,0.624,0.699,0.758,0.983454,No,1
30,M,42,Bachelors,Human Resources,United States,Manager,20,Travel_Rarely,Operations,High,High,Executive,Low,0,No,Excellent,High,21,5,3,7,0,9,9.3038,46,Married,14,Full Option Plan,16799,559.966667,69.995833,0.752,0.705,0.783,0.741,0.795,0.866734,No,1
31,M,29,Bachelors,Other,United States,Human Resources,10,Travel_Rarely,Human Resources,Medium,Medium,Manager,Low,1,No,Excellent,Low,10,3,2,9,0,9,9.1774,21,Single,13,No Option Plan,7988,266.266667,33.283333,0.704,0.791,0.688,0.782,0.73,0.892858,No,0
32,M,31,Some College,Medical,United States,Human Resources,3,Travel_Rarely,Human Resources,Very High,Very High,Junior Associate,Medium,9,No,Excellent,Very High,8,3,3,2,0,2,5.8189,42,Single,18,No Option Plan,2109,70.3,8.7875,0.744,0.711,0.618,0.789,0.748,0.964078,No,0
33,F,30,Bachelors,Life Sciences,United States,Human Resources,5,Travel_Rarely,Human Resources,High,High,Junior Associate,High,0,No,Outstanding,Low,6,3,4,3,1,3,6.6768,29,Divorced,21,Full Option Plan,2064,68.8,8.6,0.769,0.669,0.76,0.712,0.732,0.802754,No,0
34,M,40,Some College,Medical,United States,Manager,21,Travel_Rarely,Human Resources,High,High,Executive,Very High,1,Yes,Outstanding,Very High,21,2,3,7,7,7,4.89,41,Single,21,No Option Plan,16437,547.9,68.4875,0.751,0.702,0.705,0.73,0.785,0.837792,No,1
35,F,38,Masters,Human Resources,United States,Human Resources,6,Travel_Frequently,Information Technology,High,High,Associate,High,3,No,Excellent,High,10,2,3,3,1,2,9.3886,49,Married,11,No Option Plan,6077,202.566667,25.320833,0.678,0.784,0.827,0.675,0.652,0.577818,No,0
36,F,47,Masters,Life Sciences,United States,Manager,5,Travel_Rarely,Information Technology,Very High,High,VP to C-Level,High,3,No,Excellent,High,27,2,3,2,1,0,1.2346,24,Married,11,Full Option Plan,19658,655.266667,81.908333,0.673,0.722,0.689,0.721,0.722,0.983472,No,1
37,M,44,Doctorate,Human Resources,United States,Human Resources,10,Travel_Frequently,Information Technology,Low,High,Associate,Very High,4,Yes,Excellent,High,14,3,3,7,0,2,9.0356,34,Married,11,No Option Plan,5743,191.433333,23.929167,0.853,0.757,0.763,0.74,0.79,0.575276,No,0
38,M,44,Bachelors,Life Sciences,United States,Human Resources,2,Travel_Rarely,Information Technology,High,High,Junior Associate,Very High,4,Yes,Excellent,Low,8,2,3,2,2,2,8.0455,33,Divorced,18,Small Option Plan,3195,106.5,13.3125,0.742,0.572,0.591,0.791,0.739,0.902405,No,0
39,M,41,Bachelors,Human Resources,United States,Human Resources,3,Non-Travel,Finance,High,Low,Associate,Medium,6,No,Excellent,Medium,10,4,3,2,1,2,7.723,48,Married,19,Full Option Plan,6430,214.333333,26.791667,0.845,0.807,0.74,0.666,0.617,0.810892,No,0
40,M,45,Bachelors,Life Sciences,United States,Human Resources,5,Travel_Rarely,Finance,High,Low,Manager,High,4,No,Outstanding,High,9,2,4,0,0,3,9.6737,46,Married,21,Large Option Plan,9756,325.2,40.65,0.694,0.801,0.733,0.724,0.665,0.978896,No,0
41,F,24,Bachelors,Medical,United States,Human Resources,2,Travel_Frequently,Finance,Low,High,Junior Associate,Very High,0,No,Excellent,Very High,3,2,3,2,2,1,5.706,43,Married,14,Full Option Plan,2145,71.5,8.9375,0.754,0.752,0.848,0.648,0.721,0.98089,No,0
42,M,43,Bachelors,Life Sciences,United States,Human Resources,9,Travel_Rarely,Finance,Medium,High,Junior Associate,Very High,0,No,Excellent,Medium,10,5,3,7,1,8,4.6681,43,Single,13,No Option Plan,3539,117.966667,14.745833,0.801,0.87,0.851,0.551,0.724,0.875695,No,0
43,F,37,Some College,Other,United States,Human Resources,10,Travel_Rarely,Finance,High,High,Associate,Medium,2,No,Excellent,High,19,4,2,0,4,7,0.5022,36,Divorced,13,No Option Plan,4071,135.7,16.9625,0.81,0.714,0.798,0.721,0.667,0.62378,No,0
44,F,38,Bachelors,Human Resources,United States,Human Resources,11,Non-Travel,Human Resources,Low,High,Junior Associate,Medium,5,No,Excellent,Very High,13,3,3,10,3,8,2.0988,32,Divorced,13,Small Option Plan,2592,86.4,10.8,0.694,0.704,0.734,0.628,0.751,0.909415,No,0
45,M,28,Some College,Life Sciences,United States,Human Resources,3,Non-Travel,Human Resources,High,High,Junior Associate,Very High,1,No,Excellent,Medium,3,2,3,2,2,2,6.6532,44,Divorced,15,Full Option Plan,2706,90.2,11.275,0.71,0.625,0.553,0.691,0.725,0.956139,No,0
46,F,29,Below College,Medical,United States,Human Resources,1,Travel_Rarely,Human Resources,Very High,Medium,Junior Associate,Medium,1,No,Excellent,Very High,1,3,3,0,0,0,8.1063,47,Married,11,No Option Plan,2804,93.466667,11.683333,0.754,0.792,0.724,0.763,0.753,0.625617,No,0
47,F,36,Below College,Human Resources,United States,Human Resources,10,Travel_Frequently,Human Resources,Medium,Medium,Associate,Very High,1,No,Outstanding,Very High,10,2,2,1,0,8,8.1486,34,Single,21,No Option Plan,3886,129.533333,16.191667,0.801,0.735,0.851,0.691,0.758,0.948988,No,0
48,M,38,Masters,Other,United States,Human Resources,6,Travel_Frequently,Human Resources,Very High,High,Junior Associate,Medium,0,Yes,Excellent,Medium,7,2,3,2,1,2,5.7058,21,Married,11,Full Option Plan,2991,99.7,12.4625,0.81,0.72,0.807,0.73,0.768,0.781244,No,0
49,M,55,Masters,Human Resources,United States,Manager,10,Travel_Rarely,Human Resources,High,Very High,VP to C-Level,Medium,4,Yes,Excellent,Low,35,0,3,9,1,4,7.2237,44,Married,18,Full Option Plan,19636,654.533333,81.816667,0.694,0.783,0.817,0.887,0.749,0.405711,No,1
50,M,25,Bachelors,Human Resources,United States,Human Resources,2,Travel_Rarely,Human Resources,High,High,Junior Associate,Medium,4,No,Excellent,High,6,3,3,0,1,2,8.9723,46,Married,14,No Option Plan,2187,72.9,9.1125,0.71,0.703,0.833,0.745,0.816,0.96382,No,0
51,F,35,Masters,Life Sciences,United States,Human Resources,9,Travel_Rarely,Human Resources,High,High,Manager,Very High,1,Yes,Excellent,High,9,2,3,0,1,7,8.2361,27,Single,16,No Option Plan,8837,294.566667,36.820833,0.628,0.73,0.733,0.746,0.816,0.62565,No,0
52,M,49,Below College,Life Sciences,United States,Research Scientist,10,Travel_Frequently,Information Technology,High,Medium,Associate,Medium,1,No,Outstanding,Very High,10,3,3,7,1,7,8.5005,25,Married,23,Full Option Plan,5130,171,21.375,0.719,0.844,0.798,0.791,0.765,0.726138,No,0
53,M,33,Masters,Life Sciences,United States,Research Scientist,8,Travel_Frequently,Marketing,Very High,High,Junior Associate,High,1,Yes,Excellent,High,8,3,3,7,3,0,6.4257,34,Married,11,No Option Plan,2909,96.966667,12.120833,0.801,0.605,0.704,0.813,0.683,0.826183,No,0
54,F,27,Below College,Medical,United States,Laboratory Technician,2,Travel_Rarely,Marketing,Low,High,Junior Associate,Medium,9,No,Excellent,Very High,6,3,3,2,2,2,8.8952,36,Married,12,Full Option Plan,3468,115.6,14.45,0.669,0.584,0.797,0.842,0.767,0.835985,No,0
55,F,32,Some College,Life Sciences,United States,Laboratory Technician,7,Travel_Frequently,Marketing,Very High,High,Junior Associate,Very High,0,No,Excellent,High,8,2,2,7,3,6,8.6033,24,Single,13,No Option Plan,3068,102.266667,12.783333,0.702,0.628,0.758,0.864,0.702,0.502124,No,0
56,F,59,Bachelors,Medical,United States,Laboratory Technician,1,Travel_Rarely,Marketing,High,Very High,Junior Associate,Low,4,Yes,Outstanding,Low,12,3,2,0,0,0,1.6171,48,Married,20,Small Option Plan,2670,89,11.125,0.854,0.549,0.865,0.804,0.724,0.946255,No,0
57,M,30,Below College,Life Sciences,United States,Laboratory Technician,1,Travel_Rarely,Operations,Very High,High,Junior Associate,High,1,No,Outstanding,Medium,1,2,3,0,0,0,6.6039,21,Divorced,22,Full Option Plan,2693,89.766667,11.220833,0.643,0.589,0.75,0.764,0.772,0.942021,No,0
58,F,38,Bachelors,Life Sciences,United States,Manufacturing Director,9,Travel_Frequently,Operations,Very High,Medium,Manager,High,0,No,Outstanding,Medium,10,2,3,7,1,8,5.4618,34,Single,21,No Option Plan,9526,317.533333,39.691667,0.644,0.674,0.847,0.824,0.801,0.804768,No,0
59,F,36,Bachelors,Medical,United States,Healthcare Representative,7,Travel_Rarely,Operations,High,High,Associate,High,6,No,Excellent,Medium,17,3,2,7,7,7,5.1362,31,Married,13,Large Option Plan,5237,174.566667,21.820833,0.721,0.579,0.708,0.736,0.881,0.980992,No,0
60,M,35,Bachelors,Medical,United States,Laboratory Technician,5,HR,Operations,Low,Very High,Junior Associate,Medium,0,No,Excellent,High,6,5,3,4,0,3,7.8332,40,Married,13,Full Option Plan,2426,80.866667,10.108333,0.845,0.505,0.698,0.601,0.781,0.983963,No,0
61,M,29,Some College,Life Sciences,United States,Laboratory Technician,9,Travel_Rarely,Operations,Very High,Medium,Associate,High,0,Yes,Excellent,Very High,10,3,3,5,0,8,4.061,23,Single,12,No Option Plan,4193,139.766667,17.470833,0.711,0.634,0.739,0.75,0.648,0.97273,No,0
62,M,31,Below College,Life Sciences,United States,Research Scientist,5,Travel_Rarely,Operations,Low,High,Junior Associate,High,1,No,Excellent,Very High,5,1,2,2,4,3,2.03,48,Divorced,17,Full Option Plan,2911,97.033333,12.129167,0.564,0.635,0.795,0.8,0.79,0.915002,No,0
63,M,34,Some College,Medical,United States,Laboratory Technician,2,Travel_Rarely,Operations,Medium,High,Junior Associate,Very High,0,No,Excellent,High,3,2,3,2,1,2,9.0226,31,Divorced,11,Full Option Plan,2661,88.7,11.0875,0.762,0.628,0.817,0.713,0.896,0.873018,No,0
64,M,29,Masters,Life Sciences,United States,Manufacturing Director,10,Travel_Rarely,Research & Development,Medium,Very High,Manager,Low,1,No,Excellent,High,10,1,3,9,8,8,2.9345,20,Divorced,11,Full Option Plan,9980,332.666667,41.583333,0.751,0.626,0.861,0.731,0.813,0.768612,No,0
65,M,32,Some College,Life Sciences,United States,Research Scientist,6,Travel_Rarely,Research & Development,Low,Very High,Junior Associate,Medium,0,Yes,Excellent,Very High,7,5,2,2,0,5,3.137,49,Divorced,12,Large Option Plan,3298,109.933333,13.741667,0.827,0.646,0.803,0.754,0.693,0.874417,No,0
66,M,22,Some College,Medical,United States,Laboratory Technician,1,Non-Travel,Research & Development,Very High,Very High,Junior Associate,Very High,1,Yes,Excellent,Medium,1,2,2,0,0,0,3.9769,25,Divorced,13,Large Option Plan,2935,97.833333,12.229167,0.801,0.699,0.699,0.798,0.756,0.964351,No,0
67,F,38,Bachelors,Life Sciences,United States,Research Scientist,3,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Very High,5,Yes,Excellent,High,6,3,3,2,1,2,7.5722,41,Single,11,No Option Plan,3944,131.466667,16.433333,0.669,0.669,0.73,0.833,0.741,0.961084,No,0
68,M,24,Some College,Other,United States,Manufacturing Director,4,Non-Travel,Research & Development,Low,Very High,Associate,High,0,No,Excellent,Very High,5,5,2,2,1,3,9.1638,45,Divorced,18,Full Option Plan,4011,133.7,16.7125,0.773,0.704,0.621,0.889,0.822,0.993366,No,0
69,F,34,Masters,Life Sciences,United States,Research Director,12,Travel_Rarely,Finance,Low,High,Manager,Medium,0,No,Excellent,High,13,4,3,6,2,11,8.9296,23,Single,11,No Option Plan,11994,399.8,49.975,0.73,0.794,0.562,0.792,0.683,0.920588,No,1
70,M,21,Some College,Life Sciences,United States,Research Scientist,0,Travel_Rarely,Finance,High,High,Junior Associate,Very High,1,No,Excellent,Very High,0,6,3,0,0,0,7.1259,44,Single,14,No Option Plan,1232,41.066667,5.133333,0.721,0.757,0.844,0.8,0.801,0.4563,No,-1
71,F,53,Bachelors,Other,United States,Manager,14,Travel_Rarely,Finance,High,High,VP to C-Level,High,4,No,Excellent,Very High,26,3,2,13,4,8,8.7611,24,Divorced,11,Full Option Plan,19094,636.466667,79.558333,0.704,0.844,0.65,0.798,0.726,0.59147,No,1
72,F,44,Masters,Medical,United States,Healthcare Representative,22,Travel_Rarely,Finance,Low,Medium,Manager,Very High,3,No,Excellent,Very High,24,4,3,6,5,17,5.4749,32,Married,14,Full Option Plan,10248,341.6,42.7,0.66,0.756,0.727,0.686,0.615,0.978352,No,0
73,M,33,Bachelors,Medical,United States,Laboratory Technician,1,Travel_Rarely,Finance,High,High,Junior Associate,Very High,4,No,Excellent,Very High,7,3,3,1,0,0,6.036,26,Single,11,No Option Plan,2496,83.2,10.4,0.692,0.783,0.8,0.782,0.731,0.815731,No,0
74,M,44,Masters,Other,United States,Healthcare Representative,4,Travel_Rarely,Information Technology,Very High,High,Associate,Very High,2,Yes,Excellent,Very High,9,5,4,2,1,3,6.2354,23,Married,13,No Option Plan,6465,215.5,26.9375,0.721,0.73,0.921,0.583,0.772,0.982417,No,0
75,M,30,Some College,Medical,United States,Laboratory Technician,10,Travel_Rarely,Information Technology,Very High,Medium,Junior Associate,High,1,No,Excellent,Low,10,5,3,0,1,8,3.4916,49,Single,13,No Option Plan,2206,73.533333,9.191667,0.725,0.817,0.727,0.592,0.658,0.967954,No,0
76,M,43,Some College,Medical,United States,Research Scientist,5,Travel_Rarely,Information Technology,Very High,Very High,Junior Associate,High,1,No,Excellent,Very High,6,3,2,3,1,4,6.2481,26,Divorced,12,Large Option Plan,2645,88.166667,11.020833,0.705,0.778,0.641,0.83,0.703,0.956643,No,0
77,M,36,Masters,Life Sciences,United States,Research Scientist,1,Travel_Rarely,Research & Development,Medium,Medium,Junior Associate,Low,9,Yes,Excellent,Very High,6,3,4,1,0,0,8.149,44,Married,14,Full Option Plan,3419,113.966667,14.245833,0.766,0.796,0.913,0.892,0.73,0.907632,No,0
78,M,35,Some College,Other,United States,Laboratory Technician,1,Travel_Rarely,Research & Development,High,High,Junior Associate,Very High,1,No,Excellent,High,1,3,3,0,0,0,6.735,36,Divorced,12,Full Option Plan,1951,65.033333,8.129167,0.708,0.814,0.727,0.841,0.869,0.856507,No,0
79,M,27,Masters,Life Sciences,United States,Laboratory Technician,1,Travel_Rarely,Research & Development,Very High,High,Junior Associate,Low,1,No,Excellent,Very High,1,6,3,0,0,0,7.4187,47,Divorced,13,Full Option Plan,2341,78.033333,9.754167,0.695,0.73,0.766,0.738,0.832,0.96807,No,0
80,M,30,Some College,Medical,United States,Laboratory Technician,12,Travel_Frequently,Research & Development,High,High,Associate,Very High,1,No,Outstanding,Very High,12,2,3,8,3,7,13.3859,25,Single,23,No Option Plan,4011,133.7,16.7125,0.623,0.757,0.747,0.831,0.773,0.970883,No,0
81,M,37,Some College,Life Sciences,United States,Research Scientist,1,Travel_Rarely,Research & Development,Medium,High,Junior Associate,Medium,4,No,Outstanding,Low,8,1,3,0,0,0,6.728,48,Married,21,No Option Plan,3022,100.733333,12.591667,0.78,0.783,0.866,0.797,0.841,0.968984,No,0
82,F,35,Below College,Life Sciences,United States,Laboratory Technician,1,Travel_Rarely,Finance,Very High,Very High,Junior Associate,Very High,1,No,Excellent,Very High,1,2,3,0,0,1,4.149,40,Married,19,No Option Plan,2269,75.633333,9.454167,0.626,0.783,0.63,0.623,0.869,0.952094,No,0
83,M,35,Some College,Medical,United States,Healthcare Representative,4,Non-Travel,Finance,High,Medium,Manager,Low,2,Yes,Excellent,High,10,3,3,0,2,3,15.0132,41,Married,13,Full Option Plan,9884,329.466667,41.183333,0.708,0.78,0.679,0.742,0.798,0.910245,No,0
84,M,33,Some College,Life Sciences,United States,Research Director,15,Travel_Frequently,Finance,Low,High,Manager,Very High,1,Yes,Excellent,High,15,1,3,14,8,12,4.4333,42,Single,12,No Option Plan,13458,448.6,56.075,0.606,0.682,0.815,0.752,0.585,0.981316,No,1
85,M,35,Masters,Medical,United States,Laboratory Technician,2,Travel_Rarely,Finance,High,High,Junior Associate,Low,3,Yes,Excellent,High,4,3,3,2,2,2,16.3831,31,Married,15,Full Option Plan,4014,133.8,16.725,0.54,0.722,0.817,0.819,0.763,0.961134,No,0
86,M,31,Masters,Life Sciences,United States,Laboratory Technician,7,Travel_Rarely,Finance,Very High,High,Associate,Very High,3,No,Outstanding,Very High,10,3,2,7,1,7,10.2809,34,Divorced,22,Full Option Plan,5915,197.166667,24.645833,0.648,0.616,0.725,0.814,0.693,0.861727,No,0
87,M,37,Masters,Life Sciences,United States,Manufacturing Director,7,Travel_Rarely,Operations,Low,Medium,Associate,High,1,No,Excellent,High,7,2,4,5,0,7,13.6378,19,Divorced,18,Full Option Plan,5993,199.766667,24.970833,0.603,0.836,0.931,0.689,0.896,0.649457,No,0
88,M,32,Bachelors,Medical,United States,Manufacturing Director,9,Travel_Rarely,Operations,Low,High,Associate,Very High,1,Yes,Outstanding,Medium,9,3,3,8,7,8,6.7039,46,Married,22,Full Option Plan,6162,205.4,25.675,0.694,0.553,0.908,0.686,0.724,0.97309,No,0
89,F,38,Doctorate,Life Sciences,United States,Laboratory Technician,10,Travel_Frequently,Operations,Very High,High,Associate,Very High,1,No,Excellent,Very High,10,2,3,3,9,9,15.0826,36,Single,11,No Option Plan,2406,80.2,10.025,0.606,0.749,0.704,0.782,0.74,0.970478,No,0
90,M,50,Some College,Medical,United States,Research Director,27,Travel_Rarely,Operations,Medium,Medium,VP to C-Level,High,5,Yes,Excellent,Very High,29,2,2,3,13,8,5.5501,49,Divorced,12,Full Option Plan,18740,624.666667,78.083333,0.488,0.801,0.788,0.873,0.751,0.921062,No,1
91,M,36,Bachelors,Technical Degree,United States,Healthcare Representative,17,Travel_Rarely,Operations,High,High,Manager,High,1,No,Excellent,Medium,17,2,3,14,12,8,18.7621,22,Divorced,13,Small Option Plan,10096,336.533333,42.066667,0.624,0.739,0.843,0.795,0.776,0.976939,No,0
